SEARCH_HISTORY_ID,SEARCH_KEYWORD,search_date,SEARCH_TYPE,member_id
2166096,인천 중구,2023/10/02,location,579563
2434934,경기도 광명시,2023/10/02,location,886302
2702657,서울 강남구,2023/09/30,location,360438
1366721,경기도 파주시,2023/09/29,location,927789
4754328,경기도 파주시,2023/10/01,location,597690
3144833,인천 남동구,2023/09/29,location,683261
5971721,인천 강화군,2023/10/01,location,105771
6977778,인천 서구,2023/10/02,location,930251
1832175,서울 송파구,2023/09/29,location,792846
5422899,서울 중구,2023/09/28,location,659706
4535703,서울 중구,2023/10/01,location,230701
9170696,경기도 양주시,2023/09/30,location,529960
4910197,인천 강화군,2023/09/29,location,171073
9825052,인천 강화군,2023/10/01,location,693333
2361289,인천 강화군,2023/10/02,location,292301
1401739,인천 강화군,2023/10/04,location,665768
9835745,서울 종로구,2023/09/29,location,425038
1280634,서울 강서구,2023/10/04,location,982180
7816549,서울 강서구,2023/09/28,location,860413
1585486,서울 강서구,2023/09/30,location,213594
7411876,서울 강서구,2023/10/02,location,977215
7496669,경기도 하남시,2023/10/03,location,456297
6997115,경기도 하남시,2023/10/03,location,638591
7259584,경기도 하남시,2023/10/03,location,609424
2094491,서울 종로구,2023/10/03,location,916757
9344014,서울 마포구,2023/10/04,location,548631
4975337,서울 강남구,2023/09/29,location,418295
4390740,서울 성동구,2023/10/03,location,454353
1641299,서울 성동구,2023/10/03,location,685370
1145455,경기도 파주시,2023/10/05,location,526160
7183985,서울 서초구,2023/10/04,location,152960
6447302,서울 양천구,2023/10/04,location,378129
7707107,경기도 과천시,2023/10/02,location,212041
6551459,서울 종로구,2023/09/29,location,943738
2695572,경기도 오산시,2023/10/01,location,456123
5562571,경기도 양주시,2023/10/05,location,255346
7162373,서울 송파구,2023/10/01,location,943907
7387860,서울 종로구,2023/09/30,location,943774
2483101,서울 종로구,2023/10/02,location,155771
2469299,경기도 이천시,2023/10/05,location,861925
5221955,경기도 이천시,2023/09/28,location,768866
1819341,서울 은평구,2023/10/05,location,920321
6803947,인천 연수구,2023/10/05,location,239162
4723200,인천 연수구,2023/09/28,location,891359
6744913,인천 중구,2023/09/30,location,625461
6592635,서울 중구,2023/09/30,location,491068
5347205,서울 중구,2023/09/30,location,310981
1580196,서울 중구,2023/10/04,location,535528
8078846,서울 중구,2023/09/28,location,675899
1672199,인천 강화군,2023/10/05,location,634884
4962326,경기도 가평군,2023/10/05,location,160236
4763115,경기도 가평군,2023/10/02,location,807970
8479010,서울 강남구,2023/09/28,location,151846
5862379,서울 광진구,2023/10/04,location,725642
6764355,서울 중구,2023/10/02,location,393689
8041937,서울 중구,2023/10/02,location,241889
7003784,서울 중구,2023/10/02,location,382403
1564498,서울 중구,2023/10/04,location,792129
9020465,경기도 군포시,2023/10/04,location,445217
1029371,서울 성동구,2023/10/05,location,344563
9841690,서울 중구,2023/10/04,location,675873
9472306,서울 강서구,2023/09/30,location,473883
7346105,서울 강서구,2023/10/01,location,217959
6789473,인천 연수구,2023/10/05,location,953286
1378418,경기도 과천시,2023/10/04,location,481387
6077047,경기도 과천시,2023/10/03,location,671708
5750312,경기도 과천시,2023/10/05,location,859447
7389227,서울 서초구,2023/09/30,location,223824
8743007,서울 금천구,2023/09/29,location,688984
1581798,서울 금천구,2023/10/03,location,478851
8807295,서울 종로구,2023/10/04,location,462510
9306894,인천 중구,2023/10/05,location,241536
1517028,서울 종로구,2023/09/28,location,670299
5521505,서울 서초구,2023/10/03,location,879531
1228320,서울 동대문구,2023/09/28,location,289808
2755427,서울 동대문구,2023/10/03,location,767410
3177076,서울 서대문구,2023/09/29,location,488997
8536287,인천 중구,2023/10/01,location,782752
1988961,경기도 가평군,2023/09/28,location,150255
8358380,경기도 가평군,2023/10/04,location,585622
2647606,인천 강화군,2023/09/28,location,236050
7151537,서울 동작구,2023/10/01,location,946037
7619417,서울 동작구,2023/10/05,location,921426
3451452,서울 종로구,2023/10/05,location,714349
2845795,인천 남동구,2023/09/30,location,788185
9507284,인천 옹진군,2023/10/04,location,460450
2489032,인천 옹진군,2023/10/04,location,365114
9839280,인천 옹진군,2023/09/28,location,804472
5461806,인천 계양구,2023/10/02,location,746170
1605116,서울 중구,2023/10/02,location,949512
7813392,인천 강화군,2023/10/02,location,608375
3525905,인천 강화군,2023/10/05,location,867375
6801822,인천 강화군,2023/10/04,location,563065
1326165,인천 강화군,2023/10/03,location,364412
2308639,인천 강화군,2023/10/03,location,550115
1059902,인천 강화군,2023/10/04,location,649285
6413930,인천 강화군,2023/10/04,location,293167
3555159,서울 영등포구,2023/09/29,location,489891
8892791,서울 영등포구,2023/09/28,location,629765
9445682,서울 마포구,2023/10/04,location,182786
3642106,서울 강남구,2023/10/04,location,995172
4287366,경기도 화성시,2023/10/01,location,868207
2513856,서울 서초구,2023/09/29,location,199458
5038735,서울 서초구,2023/10/03,location,650178
7286473,경기도 용인시,2023/10/04,location,549263
7476335,경기도 포천시,2023/09/28,location,350898
9499548,서울 은평구,2023/09/29,location,657643
2527149,서울 은평구,2023/10/01,location,837995
7899764,서울 강남구,2023/09/29,location,545579
5344695,경기도 포천시,2023/09/29,location,152471
6845823,서울 중구,2023/10/03,location,372722
8352588,서울 중구,2023/10/03,location,633475
1747597,인천 강화군,2023/09/29,location,792394
7959206,인천 강화군,2023/10/04,location,380926
5240501,경기도 연천군,2023/10/02,location,961734
2795175,경기도 연천군,2023/10/02,location,905927
7348487,경기도 연천군,2023/10/05,location,711109
8902995,인천 옹진군,2023/10/04,location,153226
5600663,서울 용산구,2023/09/29,location,621274
8435331,서울 용산구,2023/10/03,location,937153
3210229,서울 영등포구,2023/10/03,location,706734
5604465,인천 옹진군,2023/10/04,location,755549
8033826,서울 성동구,2023/10/05,location,181299
1720621,서울 성동구,2023/10/05,location,651307
2458245,서울 마포구,2023/09/28,location,591359
7158742,서울 강남구,2023/10/02,location,188339
8869758,서울 강동구,2023/10/01,location,929555
4694612,서울,2023/10/01,location,357593
3578998,경기도 광주시,2023/10/01,location,383067
4965440,경기도 연천군,2023/09/30,location,955519
3332983,서울 중구,2023/10/01,location,739406
9871765,서울 종로구,2023/09/28,location,678011
1638601,경기도 시흥시,2023/09/28,location,553789
2909816,경기도 가평군,2023/10/01,location,593064
8823302,서울 강동구,2023/10/02,location,751432
1522441,경기도 양평군,2023/10/03,location,865500
4261486,경기도 양평군,2023/09/30,location,883146
2323206,경기도 수원시,2023/10/04,location,813115
3485452,서울 광진구,2023/10/04,location,644835
9911119,서울 광진구,2023/10/02,location,683033
7875856,서울 동작구,2023/10/02,location,886722
8484800,서울 동작구,2023/10/05,location,526102
3975513,서울 동작구,2023/10/05,location,526352
6896367,서울 동작구,2023/09/30,location,306487
5254325,경기도 용인시,2023/10/04,location,164935
2847169,경기도 용인시,2023/09/30,location,892151
1374464,서울 강남구,2023/09/29,location,605211
5822453,경기도 안산시,2023/09/28,location,424812
8513922,경기도 안산시,2023/10/04,location,142991
3429860,경기도 안산시,2023/10/04,location,185480
1170889,서울 광진구,2023/09/30,location,420340
9947831,서울 서초구,2023/10/03,location,117826
2327344,서울 서초구,2023/09/30,location,104430
1708256,서울 성동구,2023/10/04,location,963820
7925098,경기도 시흥시,2023/09/29,location,981398
2991630,서울 중구,2023/10/02,location,846594
9554566,서울 중구,2023/10/01,location,358197
4144409,서울 중구,2023/09/30,location,877218
7214112,서울 중구,2023/10/04,location,913520
2317150,서울 강남구,2023/09/28,location,147732
5885692,서울 강남구,2023/09/28,location,185231
2848596,서울 강남구,2023/10/03,location,112890
8750902,서울 중랑구,2023/10/03,location,145486
9931506,서울 중랑구,2023/09/29,location,890264
3167600,서울 종로구,2023/09/30,location,617555
7739428,서울 종로구,2023/10/01,location,652319
2128467,서울 중랑구,2023/09/29,location,992923
6204451,서울 중랑구,2023/10/01,location,313911
2885538,경기도 군포시,2023/10/04,location,703545
3211496,인천 서구,2023/09/30,location,764592
6140166,서울 동대문구,2023/10/01,location,333928
9322388,서울 성동구,2023/10/02,location,532695
5564833,경기도 용인시,2023/10/05,location,443492
7650095,서울 강남구,2023/10/05,location,526526
4370362,서울 종로구,2023/10/01,location,241455
3763566,인천 강화군,2023/10/03,location,892604
8858196,인천 강화군,2023/09/28,location,110919
2922961,인천 강화군,2023/10/04,location,667369
8190713,경기도 연천군,2023/10/01,location,421923
6136999,서울 강남구,2023/10/05,location,787858
8709244,경기도 광명시,2023/10/03,location,337367
1241961,경기도 광명시,2023/10/02,location,254310
8714759,서울 종로구,2023/09/30,location,917373
6899866,서울 마포구,2023/10/03,location,288020
5084899,서울 강동구,2023/10/02,location,675342
7239165,서울 종로구,2023/09/29,location,742289
2149652,인천 중구,2023/09/28,location,750638
4186421,경기도 여주시,2023/10/03,location,751457
7043486,인천 부평구,2023/10/01,location,726429
6246613,서울 강남구,2023/09/29,location,540562
5745584,서울 서대문구,2023/10/03,location,492500
4052553,서울 양천구,2023/09/30,location,561688
5496991,서울 양천구,2023/10/03,location,286478
5940705,서울 강남구,2023/09/28,location,296915
6962307,인천 옹진군,2023/09/30,location,445615
3544548,인천 옹진군,2023/10/02,location,317976
4849945,서울 서초구,2023/09/30,location,740136
4657837,서울 용산구,2023/10/04,location,751146
9668676,서울 용산구,2023/10/03,location,774439
2941982,경기도 광주시,2023/09/30,location,764726
4002325,경기도 광주시,2023/10/03,location,635952
3341302,경기도 광주시,2023/10/03,location,181078
8718512,경기도 광주시,2023/10/04,location,149106
8513717,서울 서초구,2023/09/28,location,962610
4022631,경기도 수원시,2023/10/03,location,960557
4184074,경기도 의왕시,2023/10/01,location,561000
8493537,서울 서대문구,2023/10/05,location,707515
9099177,서울 서대문구,2023/10/03,location,427127
6855135,서울 성동구,2023/09/29,location,754760
8787456,경기도 연천군,2023/10/02,location,600307
3042259,경기도 연천군,2023/10/01,location,772169
3690536,서울,2023/10/05,location,466494
5307238,서울,2023/10/02,location,399009
5180331,경기도 파주시,2023/10/02,location,541929
1833754,인천 부평구,2023/09/30,location,619067
9307313,서울 중구,2023/09/28,location,540017
6622120,서울 중구,2023/09/30,location,526463
4664354,경기도 양주시,2023/10/02,location,129871
7699844,경기도 양주시,2023/09/28,location,121515
6764879,서울 강남구,2023/10/04,location,531214
4075823,서울 강남구,2023/09/28,location,419230
5686003,경기도 파주시,2023/10/03,location,779764
7877619,서울 영등포구,2023/10/03,location,663266
5551394,서울 성동구,2023/09/30,location,434787
9341109,서울 성동구,2023/09/28,location,210882
8321784,서울 성동구,2023/09/30,location,378060
5521150,서울 성동구,2023/10/01,location,651109
2235714,서울 서초구,2023/10/05,location,910123
6705979,서울 서초구,2023/09/30,location,682164
4101354,경기도 용인시,2023/09/30,location,430631
6274828,경기도 용인시,2023/10/02,location,266672
7836145,인천 중구,2023/10/02,location,212742
4529625,서울 용산구,2023/09/28,location,890749
9508180,서울 용산구,2023/10/03,location,296395
6341132,서울,2023/09/30,location,286540
1327252,경기도 성남시,2023/09/28,location,710806
3194300,서울 서대문구,2023/10/02,location,610111
2570808,경기도 구리시,2023/09/29,location,159561
4312719,서울 종로구,2023/10/01,location,522181
7263673,서울 강남구,2023/10/04,location,254697
4865812,인천 남동구,2023/10/05,location,731036
9246493,인천 남동구,2023/09/28,location,161791
9223402,서울 성북구,2023/10/05,location,645890
5217664,서울 성북구,2023/10/02,location,417011
5041220,서울,2023/09/29,location,814904
2933920,서울,2023/10/02,location,371101
3117190,서울 종로구,2023/09/29,location,815233
6262994,서울 강남구,2023/09/29,location,704426
6637436,서울 강남구,2023/10/03,location,679637
6586873,인천 서구,2023/09/28,location,275782
3658513,서울 강남구,2023/10/05,location,155624
8163811,서울 강남구,2023/09/29,location,309831
5623288,서울 강서구,2023/10/02,location,694102
6519009,서울 강서구,2023/10/03,location,284610
1984282,서울 강남구,2023/10/04,location,987532
3163166,서울 강남구,2023/10/04,location,686084
4345081,인천 중구,2023/09/30,location,254242
8711680,서울 동대문구,2023/09/29,location,256994
9666192,서울 동대문구,2023/10/02,location,610879
5092772,경기도 의정부시,2023/10/03,location,326077
1150779,경기도 의정부시,2023/09/28,location,318897
8318484,경기도 의정부시,2023/10/04,location,921710
6929387,서울 양천구,2023/10/02,location,215153
3369460,서울 양천구,2023/10/03,location,133296
1605757,서울 종로구,2023/09/29,location,681888
2984117,서울 광진구,2023/10/03,location,370829
4931453,서울 성동구,2023/10/04,location,565093
2563244,경기도 가평군,2023/10/04,location,478561
4222542,서울 양천구,2023/10/05,location,354079
7861854,서울,2023/10/03,location,517973
7517401,경기도 파주시,2023/10/04,location,331672
5844630,인천 미추홀구,2023/10/02,location,217895
6547922,인천 미추홀구,2023/10/03,location,684310
5390685,인천 미추홀구,2023/09/28,location,500820
2711064,서울 용산구,2023/10/04,location,837493
1430251,서울 용산구,2023/09/30,location,832408
7432175,서울 용산구,2023/10/03,location,273204
8916871,서울 용산구,2023/10/05,location,395955
7647050,인천 남동구,2023/09/29,location,609267
6423920,경기도 이천시,2023/10/02,location,798449
4097459,서울 성동구,2023/10/03,location,209690
8285022,인천 강화군,2023/09/29,location,817927
4527582,인천 강화군,2023/10/01,location,312324
6921038,인천 강화군,2023/09/29,location,871890
4317543,서울 중구,2023/10/03,location,445283
7830526,서울 중구,2023/10/02,location,873982
5676089,서울 중구,2023/09/29,location,609016
4354676,서울 성동구,2023/10/05,location,178490
6359615,인천 연수구,2023/10/02,location,616826
2763586,인천 연수구,2023/10/02,location,961160
9118173,경기도 양평군,2023/10/01,location,418886
1114498,경기도 안성시,2023/10/02,location,819578
9999041,서울 양천구,2023/10/02,location,324932
4996323,서울 양천구,2023/10/03,location,606871
6300560,경기도 파주시,2023/09/30,location,608519
5123268,서울,2023/09/28,location,216329
2786241,서울 영등포구,2023/10/05,location,248195
5612114,서울 중구,2023/10/01,location,235432
2146574,서울 중구,2023/10/03,location,191388
1965386,서울 성동구,2023/09/30,location,814453
2567205,인천 옹진군,2023/09/29,location,702261
4078124,인천 남동구,2023/10/01,location,452656
5396278,인천 중구,2023/10/03,location,845188
5431877,서울 동대문구,2023/09/30,location,480012
1249349,서울 성북구,2023/09/30,location,654379
5821212,서울 종로구,2023/09/29,location,429171
9057439,서울 종로구,2023/09/28,location,888276
4254095,서울 종로구,2023/10/02,location,383465
1593589,서울 종로구,2023/10/01,location,189808
9286544,서울 강남구,2023/09/30,location,945400
8606320,서울 강남구,2023/10/03,location,834169
6689397,서울 강남구,2023/10/05,location,417563
7334356,서울 강남구,2023/10/04,location,516006
4429413,서울 마포구,2023/10/03,location,118869
5001434,경기도 가평군,2023/10/01,location,455749
2128135,경기도 가평군,2023/09/29,location,987563
5301464,서울 광진구,2023/09/28,location,321487
4290120,서울 광진구,2023/09/29,location,918373
2912380,서울 광진구,2023/09/28,location,196653
6463826,경기도 안성시,2023/10/04,location,634707
8699703,경기도 이천시,2023/09/30,location,185063
8283172,경기도 이천시,2023/09/28,location,842331
7251919,경기도 이천시,2023/09/28,location,844829
3287422,경기도 이천시,2023/10/05,location,262785
6934584,인천 옹진군,2023/10/03,location,522947
5175522,서울 성동구,2023/10/02,location,665016
2158993,인천 중구,2023/09/30,location,677320
5665426,인천 강화군,2023/10/04,location,460126
8928527,서울 강남구,2023/09/28,location,376095
7617115,서울 광진구,2023/10/04,location,508279
2737810,서울 광진구,2023/09/28,location,997247
2265499,인천 중구,2023/10/04,location,931457
3297265,서울 성북구,2023/09/30,location,453313
5777773,경기도 가평군,2023/10/05,location,323785
3230894,경기도 가평군,2023/09/30,location,678771
3141838,서울 강남구,2023/10/02,location,841328
9601598,서울 양천구,2023/09/30,location,547364
5950939,서울 양천구,2023/10/01,location,747405
4157892,경기도 가평군,2023/10/01,location,327771
3283526,경기도 여주시,2023/10/05,location,413717
5033411,경기도 여주시,2023/09/28,location,909845
5414406,경기도 안산시,2023/10/04,location,517700
1474228,경기도 안산시,2023/10/05,location,686112
1543861,서울 강남구,2023/10/03,location,351688
4646670,서울 강남구,2023/09/28,location,329635
4327367,서울 강남구,2023/09/29,location,236521
5468491,서울 서초구,2023/09/30,location,433183
1784834,경기도 양주시,2023/09/28,location,856301
3534854,경기도 양주시,2023/09/30,location,262335
1155117,경기도 양주시,2023/09/28,location,825164
4731899,경기도 양주시,2023/10/03,location,103632
4444977,서울 중랑구,2023/10/05,location,102337
4251899,서울 중랑구,2023/10/01,location,623274
4266129,서울 강동구,2023/10/02,location,446261
2052389,서울 강남구,2023/10/01,location,111622
4088234,서울 성동구,2023/10/05,location,952712
2937962,서울 성동구,2023/10/01,location,979877
6222231,서울 성동구,2023/10/03,location,214813
5775266,서울 영등포구,2023/10/01,location,171004
6182613,서울 영등포구,2023/10/02,location,350569
3442703,경기도 화성시,2023/09/28,location,793464
6873059,인천 서구,2023/10/02,location,137070
2930984,서울 영등포구,2023/09/30,location,412396
6636831,서울 영등포구,2023/10/03,location,152787
5252442,서울 영등포구,2023/10/02,location,165619
3487858,인천,2023/10/05,location,422124
2234869,경기도 이천시,2023/10/03,location,187934
4907046,서울 송파구,2023/10/03,location,712509
7024286,서울 마포구,2023/10/03,location,141188
1019708,인천 강화군,2023/10/01,location,716340
5572797,경기도 양주시,2023/09/29,location,170011
7543792,경기도 양주시,2023/09/29,location,133193
6769587,경기도 의정부시,2023/10/05,location,252334
7531493,경기도 용인시,2023/09/30,location,797332
4871983,경기도 용인시,2023/10/03,location,848010
4476946,서울 송파구,2023/10/03,location,756218
1793821,경기도 김포시,2023/10/05,location,583941
6894045,서울 강남구,2023/10/04,location,108966
3794567,서울 양천구,2023/09/28,location,913017
3324092,경기도 양평군,2023/09/30,location,390568
5847814,서울 종로구,2023/09/28,location,709162
8167631,서울 용산구,2023/10/01,location,654173
7169108,서울 중랑구,2023/10/04,location,451870
2648687,인천 계양구,2023/10/03,location,634597
9744475,서울 종로구,2023/09/29,location,136675
5587407,서울 종로구,2023/09/29,location,167072
7747855,서울 종로구,2023/09/30,location,712417
2727962,서울 종로구,2023/10/03,location,839230
8315093,서울 중구,2023/10/02,location,708645
2307692,서울 중구,2023/10/03,location,652290
1629828,서울 중구,2023/09/29,location,588137
3220438,경기도 안성시,2023/09/28,location,480855
9275993,경기도 포천시,2023/10/04,location,644904
3330604,경기도 포천시,2023/10/01,location,314618
5075246,경기도 포천시,2023/09/30,location,532932
4103059,서울 종로구,2023/09/30,location,930156
3477234,서울 중구,2023/09/29,location,716584
1994458,서울 중구,2023/09/30,location,860782
9709461,서울 마포구,2023/09/28,location,623775
6823278,경기도 김포시,2023/10/04,location,750140
4405035,경기도 김포시,2023/10/02,location,307447
3532785,서울 성북구,2023/10/04,location,487283
7019750,인천 미추홀구,2023/10/02,location,849012
4639813,서울 강남구,2023/09/30,location,613651
1484846,서울 강남구,2023/10/05,location,197636
8549217,인천 연수구,2023/10/05,location,977805
3525178,서울,2023/09/30,location,329829
6207981,경기도 화성시,2023/10/03,location,140008
5532153,서울 성동구,2023/10/02,location,781108
6493253,경기도 포천시,2023/10/01,location,402572
2720877,경기도 군포시,2023/10/04,location,805028
6416314,서울 송파구,2023/09/29,location,994062
9704248,서울 종로구,2023/09/30,location,898632
8585921,서울 성북구,2023/10/05,location,328411
3843062,서울 강남구,2023/10/03,location,902077
7235314,인천 남동구,2023/10/05,location,307165
6941426,인천 부평구,2023/09/28,location,323448
2631644,서울 노원구,2023/10/03,location,326385
3360009,서울 노원구,2023/09/30,location,731624
9502139,인천 서구,2023/09/30,location,113825
2305233,인천 서구,2023/10/05,location,708184
8878447,서울 강남구,2023/10/02,location,789228
8032592,서울 용산구,2023/09/29,location,890092
8966975,서울 은평구,2023/09/28,location,333953
7682002,서울 은평구,2023/09/29,location,488946
4306213,경기도 시흥시,2023/10/05,location,987162
8096750,경기도 동두천시,2023/10/01,location,300191
3887976,경기도 동두천시,2023/09/29,location,724766
5643743,경기도 동두천시,2023/10/04,location,938846
5163966,인천 옹진군,2023/09/28,location,785997
8421800,경기도 시흥시,2023/10/05,location,646182
1689885,경기도 광주시,2023/10/02,location,798730
6613851,서울 강동구,2023/09/29,location,598436
5692372,경기도 양주시,2023/10/02,location,392351
2212822,서울 서초구,2023/10/01,location,561155
9444086,서울 서초구,2023/09/30,location,379260
9978869,서울 종로구,2023/09/29,location,491219
5837382,서울 용산구,2023/10/03,location,746608
6183476,서울 종로구,2023/10/02,location,919108
1009563,서울 강서구,2023/10/05,location,340338
4692195,서울 강서구,2023/10/02,location,833367
9558022,서울 중구,2023/10/05,location,782085
5725337,경기도 안성시,2023/09/29,location,998746
2562647,서울,2023/10/01,location,128447
6621921,서울,2023/10/02,location,867920
5563575,인천 미추홀구,2023/09/30,location,812525
2175260,서울 강남구,2023/09/28,location,852754
3582537,경기도 양주시,2023/10/03,location,314548
2440793,인천 미추홀구,2023/09/28,location,398581
9605646,인천 미추홀구,2023/10/04,location,558348
3148369,인천 미추홀구,2023/09/28,location,960895
3049061,인천 미추홀구,2023/10/05,location,323643
2605504,서울 강남구,2023/10/02,location,787427
3443037,서울 강남구,2023/09/30,location,467448
8304722,인천 강화군,2023/10/04,location,411892
5385707,서울 서초구,2023/09/28,location,196790
2184952,서울 마포구,2023/10/02,location,959534
8838372,서울 마포구,2023/09/29,location,410403
